id,Volume,Good Type,Business Type,Start Business ID,End Business ID,Distance,Price
1,5,1,1,19,19,3739.25,30
2,12,3,1,26,31,27920.00,360
3,10,1,1,5,4,23567.67,300
4,10,1,1,22,17,11977.08,118
5,8,1,1,6,6,2554.08,71.8
6,5,1,1,24,27,9265.08,80
7,15,3,1,26,19,794.58,14
8,5,3,2,27,14,26792.67,36
9,10,1,1,11,7,33841.92,520
10,5,1,1,22,5,23450.75,118
11,10,1,1,16,24,21291.75,150
12,10,3,1,32,32,160.92,22
13,1,1,1,26,20,6849.33,52
14,12,3,1,10,19,19707.50,160
15,9,4,1,5,8,8226.25,118
16,12,5,1,32,6,13849.50,242
17,5,1,1,19,27,5129.25,35
18,12,3,1,32,19,2514.58,69.8
19,16,1,1,3,3,1182.50,34
20,14,1,1,22,22,3589.25,36
21,8,1,1,20,20,3802.75,52
22,12,3,1,26,3,10080.42,170
23,12,5,1,22,7,15817.92,296
24,8,1,1,26,32,1600.83,24
25,5,1,1,22,19,13501.67,62
26,12,3,1,12,22,25713.92,364.2
27,16,1,1,21,30,9298.33,600
28,12,3,1,6,26,15364.33,163.8
29,11,5,1,17,20,4086.75,70
30,12,3,1,32,24,7677.00,96
31,12,5,1,26,15,23185.83,308
32,8,1,1,1,19,2925.83,120
33,1,5,1,17,17,2473.50,20
34,8,1,1,4,4,2956.75,33.8
35,1,1,1,22,17,11751.42,58
36,2,5,1,9,19,18697.75,94
37,1,1,1,22,5,24485.00,86
38,16,1,1,32,28,11679.58,188
39,8,1,1,6,16,10956.33,240
40,5,5,1,32,5,13028.92,72
41,5,1,1,22,22,3360.17,32
42,5,1,2,27,19,5540.42,16
43,10,1,1,22,5,25036.75,436.4
44,1,5,1,26,19,5135.08,34
45,12,3,1,1,24,16157.42,240
46,16,1,1,24,1,15427.00,224
47,8,5,1,1,1,2268.00,38
48,12,5,1,26,22,16261.50,240
49,8,5,1,26,24,10975.33,84
50,16,3,1,17,17,1881.75,55
51,10,1,1,1,22,8927.75,173
52,2,2,1,32,32,1425.17,14
53,8,1,1,17,17,1080.58,30
54,8,3,1,32,32,2861.92,26
55,2,3,1,32,24,6219.33,32
56,10,1,1,5,21,5614.00,60
57,12,3,1,26,25,22583.58,326
58,12,3,1,26,3,10080.42,170
59,10,1,1,19,24,10000.08,75.6
60,8,1,2,22,32,17750.17,40
61,5,1,2,8,22,29464.33,110
62,5,1,1,8,19,21276.42,166
63,16,1,1,22,16,17032.00,500
64,8,1,1,4,5,26895.08,260
65,5,1,2,3,9,4048.83,32.4
66,8,1,1,1,19,8354.83,72
67,8,1,1,28,22,9090.50,105.8
68,1,5,1,28,27,5966.75,30
69,4,3,1,32,19,3023.33,28
70,5,1,2,10,25,3923.42,16
71,5,3,1,17,22,12108.33,120
72,10,1,2,24,8,10702.25,32
73,10,3,1,32,32,1279.83,36
74,10,1,1,17,13,16585.67,150
75,8,1,1,8,8,205.58,15
76,8,5,1,5,30,1419.33,22
77,14,5,1,32,1,10761.08,131.6
78,12,1,1,24,32,9989.50,148.8
79,12,3,1,32,17,8975.33,144
80,10,1,1,1,22,7393.17,106
81,13,1,2,28,28,4715.00,138
82,8,1,1,22,22,5151.00,49
83,12,3,1,14,14,1540.25,402
84,12,3,1,32,3,7000.83,110
85,12,3,1,22,18,2044.33,380
86,16,1,1,19,11,13588.83,100
87,12,5,1,17,22,11475.83,148
88,14,1,1,1,32,11780.67,74
89,12,5,1,22,5,24260.00,189
90,12,3,1,1,32,11230.08,150
91,12,5,1,3,8,15695.83,235
92,8,1,1,32,3,8420.67,84
93,8,1,1,32,24,3686.50,33
94,12,3,1,22,23,50952.67,680
95,6,2,1,32,26,3066.50,24
96,8,1,1,22,1,8240.50,100
97,12,3,1,19,13,26681.50,276
98,8,5,1,32,19,2507.25,32
99,2,5,1,22,22,5466.08,54
100,5,1,1,27,13,18046.83,79
101,5,1,1,26,7,25427.83,184
102,2,5,1,19,19,3071.33,28
103,8,5,1,32,8,18300.42,156
104,12,5,1,7,7,6142.17,168
105,8,1,3,20,32,11055.50,136
106,16,1,1,1,32,11597.83,93
107,5,1,1,7,7,2071.33,40
108,4,1,1,17,3,5078.83,38
109,12,3,1,19,26,2277.08,78
110,6,5,1,11,26,13195.33,100
111,8,5,1,32,32,2747.17,26
112,5,1,1,17,17,849.00,18
113,8,1,1,32,24,7114.58,56
114,10,1,1,3,11,4550.33,67
115,12,5,1,25,11,19844.25,200
116,10,3,1,19,1,8868.00,160
117,5,5,1,24,22,21365.58,25
118,10,1,1,22,19,14770.33,164
119,10,1,1,1,32,12848.42,168
120,10,5,1,11,9,2813.25,36
121,10,1,1,11,11,3693.00,60
122,8,1,1,19,32,2241.83,30
123,8,1,1,22,1,3326.67,31
124,1,1,1,26,27,6951.00,32
125,8,1,1,22,19,16202.08,110
126,1,5,1,26,27,4948.58,36
127,0,1,2,17,5,12917.83,20
128,12,3,1,32,32,1472.92,46
129,12,3,1,32,20,4947.92,103
130,12,3,1,19,27,5236.25,60
131,8,1,1,10,27,12787.42,126
132,12,3,1,22,22,1718.25,46
133,5,1,2,11,17,14008.33,62
134,12,5,1,1,22,7791.17,112
135,8,5,1,32,19,2845.67,34
136,5,1,1,17,17,160.83,12
137,8,3,1,17,22,11533.08,270
138,12,5,1,11,22,22599.17,238
139,5,1,1,22,20,10559.67,52
